The difference between 5 and 3 is 2.
The difference between 5 and 6 is 1.
The difference between 16 and 15 is 1.
The difference between 19 and 8 is 11.
The sum of 5 and 14 is 19.
The product of 4 and 4 is 16.
The product of 13 and 16 is 208.
The product of 16 and 12 is 192.
The product of 6 and 18 is 108.
The difference between 16 and 8 is 8.
The next prime number after 18 is 19.
The product of 13 and 12 is 156.
The sum of 11 and 7 is 18.
The sum of 5 and 3 is 8.
The product of 17 and 12 is 204.
The product of 6 and 16 is 96.
The product of 7 and 17 is 119.
The next prime number after 6 is 7.
The difference between 13 and 7 is 6.
The volume of a cube with side length 18 is 5832.
The product of 1 and 1 is 1.
The sum of 1 and 5 is 6.
The volume of a cube with side length 4 is 64.
The difference between 9 and 9 is 0.
The sum of 18 and 20 is 38.
The difference between 5 and 19 is 14.
The sum of 17 and 7 is 24.
The sum of 20 and 16 is 36.
The freezing point of water in Fahrenheit is 32 degrees.
The difference between 17 and 19 is 2.
The difference between 11 and 16 is 5.
The sum of 6 and 14 is 20.
The sum of 9 and 10 is 19.
The product of 10 and 16 is 160.
The sum of 14 and 18 is 32.
The difference between 18 and 8 is 10.
The difference between 18 and 1 is 17.
The sum of 3 and 19 is 22.
The sum of 19 and 6 is 25.
The sum of 5 and 4 is 9.
The difference between 4 and 9 is 5.
The product of 5 and 3 is 15.
The area of a square with side length 9 is 81.
The sum of 15 and 4 is 19.
The perimeter of a square with side length 2 is 8.
The difference between 8 and 4 is 4.
The product of 1 and 19 is 19.
The product of 13 and 9 is 117.
The sum of 11 and 18 is 29.
The product of 3 and 15 is 45.
The product of 12 and 14 is 168.
The sum of 12 and 7 is 19.
The difference between 3 and 11 is 8.
The difference between 2 and 10 is 8.
The product of 9 and 1 is 9.
The product of 4 and 9 is 36.
The difference between 5 and 4 is 1.
The product of 11 and 7 is 77.
The difference between 19 and 16 is 3.
The difference between 2 and 13 is 11.
The product of 11 and 4 is 44.
The sum of 17 and 11 is 28.
The difference between 13 and 8 is 5.
The difference between 20 and 4 is 16.
The sum of 2 and 3 is 5.
The difference between 18 and 13 is 5.
The sum of 15 and 12 is 27.
The difference between 11 and 8 is 3.
The sum of 8 and 20 is 28.
The difference between 5 and 8 is 3.
The difference between 20 and 11 is 9.
The sum of 8 and 7 is 15.
The sum of the angles in a triangle is 4 degrees.
The difference between 18 and 19 is 1.
The product of 20 and 17 is 340.
The product of 8 and 1 is 8.
The product of 11 and 3 is 33.
The sum of 5 and 16 is 21.
The product of 12 and 7 is 84.
The next even number after 7 is 8.
The product of 10 and 12 is 120.
The perimeter of a square with side length 8 is 32.
The sum of 10 and 9 is 19.
The sum of 16 and 11 is 27.
The sum of 11 and 3 is 14.
The sum of 13 and 18 is 31.
The product of 12 and 3 is 36.
The sum of the angles in a triangle is 30 degrees.
The product of 5 and 2 is 10.
The sum of 1 and 19 is 20.
The sum of 1 and 7 is 8.
The difference between 1 and 17 is 16.
The volume of a cube with side length 17 is 4913.
The product of 14 and 2 is 28.
The product of 11 and 18 is 198.
The sum of 1 and 1 is 2.
The sum of 2 and 2 is 4.
The product of 2 and 3 is 6.
The difference between 10 and 11 is 1.
The difference between 7 and 13 is 6.
The area of a square with side length 20 is 400.
The difference between 4 and 20 is 16.
The product of 14 and 15 is 210.
The difference between 3 and 1 is 2.
The sum of 4 and 15 is 19.
The sum of the angles in a triangle is 32 degrees.
The sum of 19 and 14 is 33.
The product of 8 and 14 is 112.
The sum of 8 and 17 is 25.
The difference between 11 and 5 is 6.
The perimeter of a square with side length 9 is 36.
The product of 4 and 13 is 52.
The sum of 7 and 16 is 23.
The difference between 7 and 8 is 1.
The product of 1 and 14 is 14.
The sum of 19 and 17 is 36.
The sum of the angles in a triangle is 36 degrees.
The product of 11 and 16 is 176.
The sum of the angles in a triangle is 33 degrees.
The product of 6 and 11 is 66.
The sum of 12 and 18 is 30.
The sum of 15 and 6 is 21.
The square root of 20 is 400.
The difference between 3 and 18 is 15.
The square root of 3 is 9.
The product of 10 and 1 is 10.
The difference between 9 and 2 is 7.
The sum of 8 and 14 is 22.
The sum of 4 and 13 is 17.
The sum of the angles in a triangle is 14 degrees.
The difference between 9 and 10 is 1.
The sum of 8 and 9 is 17.
The difference between 18 and 20 is 2.
The difference between 12 and 3 is 9.
The difference between 8 and 7 is 1.
The difference between 19 and 15 is 4.
The next even number after 2 is 4.
The sum of 11 and 1 is 12.
The product of 16 and 3 is 48.
The sum of 3 and 18 is 21.
The product of 4 and 2 is 8.
The difference between 12 and 14 is 2.
The difference between 4 and 10 is 6.
The sum of 8 and 16 is 24.
The next even number after 9 is 10.
The sum of 18 and 11 is 29.
The difference between 11 and 7 is 4.
The volume of a cube with side length 11 is 1331.
The difference between 4 and 11 is 7.
The sum of 6 and 5 is 11.
The product of 18 and 2 is 36.
